新二级类型标签	行政区	派出所	具体位置描述	楼栋编码
住宅	福田	香蜜湖所	东海花园二期15栋	4403040070010700011
住宅	福田	香蜜湖所	东海花园二期16栋	4403040070010700012
住宅	福田	香蜜湖所	东海花园二期5栋	4403040070010800006
住宅	福田	香蜜湖所	东海花园二期6栋	4403040070010800008
住宅	福田	香蜜湖所	东海花园一期3栋	4403040070010900006
住宅	福田	香蜜湖所	东海花园一期2栋	4403040070010900010
住宅	福田	香蜜湖所	东海花园一期1栋	4403040070010900011
住宅	福田	香蜜湖所	香珠花园D	4403040070011000003
住宅	福田	香蜜湖所	香珠花园A、B	4403040070011000004
住宅	福田	香蜜湖所	香珠花园C	4403040070011000005
商业办公	福田	香蜜湖所	财富广场A座	4403040070011200006
商业办公	福田	梅林所	财富广场B座	4403040070011200007
商业办公	福田	香蜜湖所	东海国际中心B座	4403040070011300007
住宅	福田	香蜜湖所	翠海花园B栋	4403040070020100001
住宅	福田	香蜜湖所	翠海花园A栋	4403040070020100007
住宅	福田	香蜜湖所	香域中央花园6栋	4403040070020300002
住宅	福田	香蜜湖所	香域中央花园8栋	4403040070020300006
住宅	福田	香蜜湖所	香域中央花园9栋	4403040070020300010
住宅	福田	香蜜湖所	香域中央花园10栋	4403040070020300013
住宅	福田	香蜜湖所	香榭名园3栋	4403040070021500007
住宅	福田	香蜜湖所	天宝物华锦园幢	4403040070021500010
住宅	福田	香蜜湖所	万科温馨家园2A	4403040070030100001
住宅	福田	香蜜湖所	万科温馨家园1D	4403040070030100002
住宅	福田	香蜜湖所	合正香蜜原著1栋	4403040070030100003
住宅	福田	香蜜湖所	合正香蜜原著2栋	4403040070030100004
住宅	福田	香蜜湖所	合正香蜜原著3栋	4403040070030100005
住宅	福田	香蜜湖所	合正香蜜原著4栋	4403040070030100006
住宅	福田	香蜜湖所	合正香蜜原著5栋	4403040070030100008
住宅	福田	香蜜湖所	侨香村6栋A	4403040070030200024
住宅	福田	香蜜湖所	侨香村5栋B	4403040070030200029
住宅	福田	香蜜湖所	金地香蜜山15栋	4403040070030300001
住宅	福田	香蜜湖所	金地香蜜山11栋	4403040070030300002
住宅	福田	香蜜湖所	金地香蜜山10栋	4403040070030300003
住宅	福田	香蜜湖所	金地香蜜山13栋	4403040070030300004
住宅	福田	香蜜湖所	金地香蜜山12栋	4403040070030300005
住宅	福田	香蜜湖所	金地香蜜山7栋	4403040070030300007
住宅	福田	香蜜湖所	金地香蜜山9栋	4403040070030300008
住宅	福田	香蜜湖所	金地网球花园6栋	4403040070030300009
住宅	福田	香蜜湖所	金地香蜜山3栋	4403040070030300010
住宅	福田	香蜜湖所	金地网球花园2栋B单元	4403040070030300011
住宅	福田	香蜜湖所	金地香蜜山2栋	4403040070030300012
住宅	福田	香蜜湖所	金地香蜜山5栋	4403040070030300013
住宅	福田	香蜜湖所	紫竹六道78号竹盛花园14栋	4403040070041000017
住宅	福田	香蜜湖所	深南大道8008号红树林海景花园	4403040070041100007
住宅	福田	香蜜湖所	紫竹六道64号越海家园2栋怡景阁	4403040070041200001
住宅	福田	香蜜湖所	香蜜湖瀚城6栋	4403040070050300004
住宅	福田	香蜜湖所	瀚盛花园4栋	4403040070050300005
住宅	福田	香蜜湖所	香蜜湖瀚城3栋	4403040070050300007
住宅	福田	香蜜湖所	瀚盛花园2栋	4403040070050300009
住宅	福田	香蜜湖所	瀚盛花园1栋	4403040070050300010
住宅	福田	香蜜湖所	特发小区11栋	4403040070050400016
住宅	福田	香蜜湖所	特发小区13栋	4403040070050400017
住宅	福田	香蜜湖所	特发小区19栋3单元	4403040070050400024
住宅	福田	香蜜湖所	嘉隆星苑B栋	4403040070050500001
住宅	福田	香蜜湖所	香雅园1栋	4403040070050600001
住宅	福田	香蜜湖所	嘉园2栋	4403040070050600002
住宅	福田	香蜜湖所	嘉园1栋	4403040070050600005
住宅	福田	香蜜湖所	豪峰园6栋	4403040070050700001
住宅	福田	香蜜湖所	豪峰园7栋	4403040070050700002
住宅	福田	香蜜湖所	豪峰园5栋	4403040070050700003
住宅	福田	香蜜湖所	豪峰园3栋	4403040070050700004
住宅	福田	香蜜湖所	枫丹雅苑4栋	4403040070050700008
住宅	福田	香蜜湖所	枫丹雅苑1号	4403040070050700009
住宅	福田	香蜜湖所	星逸居	4403040070050800001
住宅	福田	香蜜湖所	恒星园1栋	4403040070050800002
住宅	福田	香蜜湖所	恒星园2栋	4403040070050800003
住宅	福田	香蜜湖所	恒星园3栋	4403040070050800004
住宅	福田	香蜜湖所	香蜜湖第一生态苑华府1栋（华旭阁）	4403040070060100001
住宅	福田	香蜜湖所	香蜜湖第一生态苑华府2栋（华日阁、华东阁）	4403040070060100002
住宅	福田	香蜜湖所	香蜜湖第一生态苑华府3栋（华升阁、华皓阁）	4403040070060100003
住宅	福田	香蜜湖所	香蜜湖第一生态苑华府4栋（华月阁、华晴阁）	4403040070060100004
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园14处（69-78号）69/70/71/72/73/75/76/78	4403040070060100017
住宅	福田	香蜜湖所	香蜜湖第一生态苑御园3处（6、8号）	4403040070060100019
住宅	福田	香蜜湖所	水榭花都鸣翠居3栋、5栋	4403040070060100026
住宅	福田	香蜜湖所	水榭花都鸣翠居1栋、2栋	4403040070060100027
住宅	福田	香蜜湖所	香荟雅苑	4403040070060300002
住宅	福田	香蜜湖所	香蜜湖豪庭	4403040070060300003
住宅	福田	香蜜湖所	新天国际名苑B栋	4403040070060300004
住宅	福田	香蜜湖所	新天国际名苑A栋	4403040070060300005
住宅	福田	香蜜湖所	新天国际名苑D栋	4403040070060300007
住宅	福田	香蜜湖所	九号大院1栋	4403040070060300008
住宅	福田	香蜜湖所	九号大院2栋	4403040070060300009
住宅	福田	香蜜湖所	九号大院3栋	4403040070060300010
住宅	福田	香蜜湖所	九号大院4栋	4403040070060300011
住宅	福田	香蜜湖所	熙园2栋A座	4403040070060600002
住宅	福田	香蜜湖所	熙园2栋B座	4403040070060600003
住宅	福田	香蜜湖所	熙园2栋C座	4403040070060600004
住宅	福田	香蜜湖所	熙园2栋D	4403040070060600005
住宅	福田	香蜜湖所	熙园1C栋	4403040070060600006
住宅	福田	香蜜湖所	熙园5A栋	4403040070060600020
住宅	福田	香蜜湖所	熙园5D栋	4403040070060600023
住宅	福田	香蜜湖所	熙园5E	4403040070060600024
住宅	福田	香蜜湖所	水榭花都润雨居1-5单元	4403040070060700001
住宅	福田	香蜜湖所	水榭花都听水居1栋	4403040070060700002
住宅	福田	香蜜湖所	水榭花都听水居2栋	4403040070060700003
住宅	福田	香蜜湖所	水榭花都听水居3栋	4403040070060700004
住宅	福田	香蜜湖所	水榭花都听水居5栋	4403040070060700005
住宅	福田	香蜜湖所	水榭花都翠堤1排（1-19栋）	4403040070060700007
住宅	福田	香蜜湖所	水榭花都倚湖居5栋	4403040070060700012
住宅	福田	香蜜湖所	水榭花都倚湖居2栋	4403040070060700014
住宅	福田	香蜜湖所	香蜜楼B单元	4403040070061400001
住宅	福田	香蜜湖所	香蜜湖度假村家属楼5栋	4403040070061400012
公寓	福田	香蜜湖所	金民大厦梧桐寓酒店	4403040070070700013
商业办公	福田	香蜜湖所	求是大厦	4403040070070900006
住宅	福田	香蜜湖所	竹园小区南区7	4403040070080900020
商业办公	福田	香蜜湖所	香蜜湖街道办	4403040070081000003
公寓	福田	景田所	雅枫国际酒店	4403040080040500004
商业办公	福田	莲花所	福中三路市民中B	4403040080040900002
住宅	福田	景田所	青海大厦	4403040080070200001
住宅	福田	景田所	景尚雅苑	4403040080070200002
住宅	福田	景田所	民华大厦	4403040080070200004
住宅	福田	景田所	哈尔滨大厦	4403040080070200005
住宅	福田	景田所	景华苑西座	4403040080070300004
住宅	福田	景田所	天健天骄北庐B栋	4403040080070700006
住宅	福田	景田所	香蜜湖唯珍府	4403040080071200004
住宅	福田	景田所	天然居C栋	4403040080071800002
住宅	福田	景田所	天然居D、F栋	4403040080071800006
住宅	福田	景田所	金色假日名苑A、B栋	4403040080100100008
住宅	福田	景田所	缇香名苑2栋	4403040080100200001
住宅	福田	景田所	缇香名苑4栋一单元	4403040080100200002
住宅	福田	景田所	缇香名苑5栋二单元	4403040080100200003
住宅	福田	景田所	缇香名苑6栋二单元	4403040080100200004
住宅	福田	景田所	缇香名苑7栋	4403040080100200005
住宅	福田	景田所	香逸名园（B栋）	4403040080100500001
商业办公	福田	景田所	山水大厦	4403040080100700001
住宅	福田	景田所	侨福大厦	4403040080100700003
公寓	福田	景田所	富瑞斯国际公寓	4403040080100800001
住宅	福田	景田所	安柏丽晶园4栋	4403040080100800002
住宅	福田	景田所	东方玫瑰花园9栋	4403040080100900001
住宅	福田	景田所	东方玫瑰花园2栋	4403040080100900002
住宅	福田	景田所	东方玫瑰花园16栋	4403040080100900006
住宅	福田	景田所	天健天骄北庐E栋	4403040080110200012
住宅	福田	景田所	天健天骄北庐D栋	4403040080110200013
住宅	福田	景田所	天健天骄北庐C栋	4403040080110200014
住宅	福田	景田所	擎天华庭2栋（华庭阁）	4403040080110400004
住宅	福田	景田所	天健天骄福苑A座	4403040080110400007
住宅	福田	景田所	天健天骄南苑B栋2单元	4403040080110500020
住宅	福田	景田所	天健天骄北庐A栋	4403040080110500021
住宅	福田	景田所	市政大院10栋一单元	4403040080110700009
住宅	福田	景田所	市政大院9栋一单元	4403040080110700010
住宅	福田	景田所	香蜜新村5栋一、二、三单元	4403040080110900011
住宅	福田	景田所	香蜜新村26栋一单元	4403040080110900027
住宅	福田	景田所	鲁班大厦2栋	4403040080111000001
住宅	福田	景田所	华贸欣园（银杏阁）	4403040080120100001
住宅	福田	景田所	聚豪园（豪情阁）	4403040080120200001
住宅	福田	景田所	天健名苑AB栋	4403040080120300004
住宅	福田	景田所	瑞达苑	4403040080120700001
住宅	福田	景田所	华富大厦	4403040080121000001
住宅	福田	景田所	特区报社公寓	4403040080121100003
住宅	南山	南山所	龙海家园3栋	4403050010010300010
住宅	南山	南山所	龙海家园16栋	4403050010010300025
住宅	南山	南山所	龙海家园18A栋	4403050010010300027
住宅	南山	南山所	龙海家园22栋	4403050010010300031
住宅	南山	南山所	龙海家园23栋	4403050010010300032
住宅	南山	南山所	悦湾府一栋一单元	4403050010010300117
住宅	南山	南头所	东方新地	4403050010040100001
商业办公	南山	南头所	君亭酒店	4403050010040100301
住宅	南山	南头所	嘉南美地	4403050010040200001
住宅	南山	南头所	鸿洲新都	4403050010040200004
住宅	南山	南头所	英达钰龙园C栋	4403050010040300001
住宅	南山	南头所	英达钰龙园D栋	4403050010040300002
住宅	南山	南头所	悠然天地1栋	4403050010040500002
住宅	南山	南头所	悠然天地3栋	4403050010040500003
住宅	南山	南头所	荔林春晓A栋	4403050010040800001
住宅	南山	南头所	南龙苑B栋	4403050010060100002
住宅	南山	南头所	名仕春天A/C座	4403050010060200001
商业办公	南山	南头所	唐商科技大厦	4403050010060200013
住宅	南山	南头所	明珠荔景1栋	4403050010060300001
住宅	南山	南头所	明珠荔景2栋	4403050010060300002
住宅	南山	南头所	豪方天际花园6栋	4403050010071200038
住宅	南山	南头所	前海东岸5栋	4403050010071200043
住宅	南山	南头所	前海东岸1栋	4403050010071400002
住宅	南山	南头所	前海东岸花园4栋	4403050010071400003
商业办公	南山	南头所	机训南片	4403050010100200010
商业办公	南山	南头所	希尔顿逸林酒店	4403050010100200032
住宅	南山	南头所	星海名城5期1栋	4403050010100400001
住宅	南山	南头所	星海名城六期1栋	4403050010100400003
住宅	南山	南头所	星海名城三期9栋	4403050010100600007
住宅	南山	南头所	星海名城三期8栋	4403050010100600008
住宅	南山	南头所	星海名城三期6-7栋	4403050010100600010
住宅	南山	南头所	前海花园36栋	4403050010110300002
住宅	南山	南头所	前海花园43栋	4403050010110300003
住宅	南山	南头所	前海花园45栋	4403050010110300005
住宅	南山	南头所	前海花园47栋	4403050010110300006
住宅	南山	南头所	椰风海岸B栋	4403050010110500001
住宅	南山	南头所	新德家园DA栋	4403050010110600007
住宅	南山	南头所	云栖栖岸阁	4403050010110800004
住宅	南山	南山所	鼎太风华二期H栋2单元	4403050020030200005
住宅	南山	南山所	鼎太风华1栋F单元	4403050020030200015
住宅	南山	南山所	鼎太风华2栋F单元	4403050020030200016
住宅	南山	南山所	鼎太风华3栋F单元	4403050020030200017
住宅	南山	南山所	鼎太风华6栋F单元	4403050020030200018
住宅	南山	南山所	鼎太风华8	4403050020030200022
住宅	南山	南山所	鼎太风华11	4403050020030200025
住宅	南山	南山所	鼎太风华七期18栋	4403050020030200031
住宅	南山	南山所	鼎太风华F2栋	4403050020030200040
住宅	南山	南山所	铭筑荔苑1B	4403050020050100023
住宅	南山	南山所	铭筑荔苑1A	4403050020050100024
住宅	南山	南山所	荔海春城2栋	4403050020050200019
住宅	南山	南山所	荔海春城5栋	4403050020050200022
住宅	南山	蛇口港所	雷圳碧榕湾名苑4栋	4403050020060300029
住宅	南山	蛇口港所	雷圳碧榕湾名苑3栋1单元	4403050020060300032
住宅	南山	蛇口港所	雷圳碧榕湾名苑2栋1单元	4403050020060300033
住宅	南山	蛇口港所	雷圳碧榕湾名苑1栋3单元	4403050020060300034
商业办公	南山	蛇口港所	冠华大厦	4403050020060300039
住宅	南山	蛇口港所	万科臻山海3单元	4403050020060300041
住宅	南山	蛇口港所	诺德假日花园6栋B单元	4403050020060500006
住宅	南山	蛇口港所	诺德假日花园7栋B单元	4403050020060500008
住宅	南山	蛇口港所	诺德假日花园5栋C单元	4403050020060500011
住宅	南山	蛇口港所	太子山庄13栋	4403050020060700037
住宅	南山	蛇口港所	前海颐湾府一栋	4403050020060900013
住宅	南山	蛇口港所	前海颐湾府三栋二单元	4403050020060900014
住宅	南山	蛇口港所	瑧湾悦家园二期三单元	4403050020061500009
住宅	南山	蛇口港所	瑧湾悦家园二期四单元	4403050020061500010
住宅	南山	蛇口港所	一湾臻邸1栋2单元	4403050020063800002
住宅	南山	蛇口港所	一湾臻邸3栋2单元	4403050020063800004
住宅	南山	蛇口港所	前海天境花园1-4栋	4403050020063900002
住宅	南山	蛇口港所	前海天境花园2-1栋	4403050020063900008
住宅	南山	南山所	正东名苑A1A2栋	4403050020070700072
商业办公	南山	南山所	华联城市中心T2	4403050020080500031
住宅	南山	南山所	心语家园B	4403050020080700001
住宅	南山	南山所	京基东滨时代	4403050020080700036
商业办公	南山	南山所	阳光科创C座	4403050020080800030
商业办公	南山	南山所	阳光科创B座	4403050020080800031
商业办公	南山	南山所	荔源广场B栋	4403050020080900103
住宅	南山	南山所	鸿海大厦	4403050020110100135
公寓	南山	南山所	御城府	4403050020110200018
住宅	南山	南山所	卓越前海壹号T2栋	4403050020120200010
住宅	南山	南山所	龙海家园24栋	4403050020120200011
住宅	南山	南山所	前海时代5栋	4403050020120200016
住宅	南山	南山所	前海时代1栋	4403050020120200018
住宅	南山	南山所	前海时代2栋	4403050020120200019
住宅	南山	南山所	前海时代CEO公馆7栋	4403050020120200021
住宅	南山	南山所	前海时代CEO公馆9栋A单元	4403050020120200022
住宅	南山	南山所	前海时代CEO公馆14栋B单元	4403050020120200030
住宅	南山	南山所	前海时代CEO公馆8栋	4403050020120200031
公寓	南山	南山所	胤璞公寓T1栋	4403050020120200046
公寓	南山	南山所	胤璞公寓T2栋	4403050020120200050
公寓	南山	南山所	大新时代大厦B座	4403050020120300005
住宅	南山	南山所	阳光棕榈园32栋	4403050020120400001
住宅	南山	南山所	阳光棕榈园31栋	4403050020120400005
住宅	南山	南山所	阳光棕榈园31栋	4403050020120400006
住宅	南山	南山所	阳光棕榈园28栋3单元	4403050020120400007
住宅	南山	南山所	阳光棕榈园10栋	4403050020120400024
住宅	南山	南山所	阳光棕榈园13栋	4403050020120400027
公寓	南山	西丽所	美家园公寓	4403050030020600078
公寓	南山	西丽所	麒麟公寓B栋	4403050030020600090
商业办公	南山	西丽所	深职院CD栋	4403050030050600005
商业办公	南山	西丽所	深职院柳园A栋	4403050030090100066
商业办公	南山	沙河所	国际市长交流中心	4403050040020200005
住宅	南山	沙河所	东方花园玉蕊阁	4403050040030200001
住宅	南山	沙河所	东方花园金辉阁	4403050040030200003
住宅	南山	沙河所	东方花园丹霞阁	4403050040030200010
住宅	南山	沙河所	深云村11栋	4403050040040100001
住宅	南山	沙河所	深云村10栋	4403050040040100011
住宅	南山	沙河所	朗侨峰居A栋	4403050040040200001
住宅	南山	沙河所	绿景美景广场	4403050040040300050
住宅	南山	沙河所	湖滨花园潋芳阁	4403050040050300001
住宅	南山	沙河所	锦绣花园二期B栋	4403050040050600004
住宅	南山	沙河所	锦绣花园一期A栋	4403050040050700005
住宅	南山	沙河所	深圳湾花园4栋	4403050040070400001
住宅	南山	沙河所	深圳湾花园7栋	4403050040070400007
住宅	南山	沙河所	湾畔花园小区3栋	4403050040070600035
住宅	南山	沙河所	湾畔花园小区7栋	4403050040070600036
住宅	南山	沙河所	香山里2栋	4403050040090100050
住宅	南山	沙河所	香山里6栋	4403050040090100058
住宅	南山	沙河所	香山里7栋	4403050040090100060
公寓	南山	沙河所	沙河世纪假日广场CD座	4403050040120300021
公寓	南山	沙河所	瑞思中心	4403050040120300022
住宅	南山	蛇口所	皇庭港湾F栋	4403050050020100003
住宅	南山	蛇口所	翡翠海岸F栋	4403050050020100012
住宅	南山	蛇口所	三湘海尚F栋	4403050050020200031
住宅	南山	蛇口所	海怡湾J栋	4403050050020200038
住宅	南山	高新所	朗景园B栋	4403050070030400139
住宅	南山	粤海所	深圳湾创新科技中心1A栋	4403050070042200010
住宅	南山	粤海所	卓越浅水湾3栋	4403050070042900009
住宅	南山	粤海所	卓越浅水湾8栋	4403050070042900011
住宅	南山	粤海所	博海名苑4栋	4403050070043000006
住宅	南山	粤海所	纯海岸雅居4栋	4403050070043000007
住宅	南山	粤海所	纯海岸雅居2栋	4403050070043000008
住宅	南山	粤海所	岸芷汀兰2栋	4403050070043000009
住宅	南山	粤海所	岸芷汀兰1栋	4403050070043000010
住宅	南山	深圳湾所	悦府二期2栋	4403050070050500008
商业办公	南山	深湾所	鹏润达广场	4403050070050500009
住宅	南山	深湾所	悦府一期1栋	4403050070050500010
公寓	南山	深湾所	安达仕酒店	4403050070050500018
公寓	南山	深湾所	恒裕深圳湾B栋	4403050070050500034
商业办公	南山	深湾所	中海外大厦	4403050070050500037
住宅	南山	粤海所	保利花园4栋	4403050070051200001
住宅	南山	粤海所	海珠城花园海虹阁	4403050070051400002
住宅	南山	粤海所	海岸明珠E栋	4403050070051400003
住宅	南山	深湾所	观海台花园1栋	4403050070051500004
住宅	南山	深湾所	观海台花园2栋	4403050070051500007
住宅	南山	高新所	汇景豪苑4-5栋（海典阁、海逸阁）	4403050070081000019
住宅	南山	高新所	深南花园B座	4403050070081000020
住宅	南山	深湾所	电力花园1栋1单元	4403050070110100006
住宅	南山	高新区所	新世界豪园8号楼	4403050070130100002
住宅	南山	高新区所	华润城润府1期2栋	4403050070130200031
公寓	南山	深湾所	深圳湾一号T5	4403050070140300019
住宅	南山	塘朗所	西湖林语1栋	4403050080020400001
住宅	南山	塘朗所	西湖林语2栋	4403050080020400002
住宅	南山	塘朗所	汇城茗院1栋2单元	4403050080020500012
住宅	南山	塘朗所	德意名居一期1栋	4403050080021300012
住宅	南山	塘朗所	深大丽湖校区紫罗兰	4403050080022600035
住宅	南山	塘朗所	深大丽湖校区冬青树	4403050080022600036
